Codigo,Tipo,Punto,Muestreo,sul1,tetA,CTX_M,qnrS,ermB,dfrA12,blaTEM,sul2,tetQ,intI_1,Cfecales,Ecoli,Efaecalis,CF_EF,Porcentaje_OD,mg_L_OD,?S_cm,,,,,,,,,,,,
S042,sedimento,Sitio 3,2,0.064968762,0.000175334,ND,ND,0.000174615,1.13E-05,ND,0.017395398,0.000733252,ND,9.504576856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S043,sedimento,Sitio 3,2,0.080911249,0.00031457,ND,4.92E-06,7.07E-05,2.84E-06,1.43E-05,0.017389749,0.000143095,ND,5.483409725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S194,sedimento,Sitio 1,3,0.001503474,6.08E-06,0,0,5.48E-06,0,0,0.000742086,0.002237924,0.000948547,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
S195,sedimento,Sitio 1,3,0.001439644,4.99E-06,0,1.56E-05,4.88E-06,0,0,0.000671968,0.002478638,0.000727915,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
S196,sedimento,Sitio 1,3,0.001131614,8.20E-06,0,2.42E-06,6.02E-06,0,0,0.000692039,0.002721732,0.001210953,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
S197,sedimento,Sitio 2,3,0,0.000243359,0,0.000159974,6.69E-06,3.18E-06,0,0,0.000147494,0.061660043,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
S198,sedimento,Sitio 2,3,0,0.000191154,0,0.000201498,5.30E-06,4.34E-06,0,0,0.00018789,0.052209379,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
S199,sedimento,Sitio 2,3,0,0.000291087,0,0.000202339,9.37E-06,1.83E-06,0,0,0.000173442,0.068915482,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
S200,sedimento,Sitio 3,3,0,0.000539999,0,0.001361226,9.83E-05,6.44E-05,0,0,0.002847442,0.156063931,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
S201,sedimento,Sitio 3,3,0,0.001036338,0,0.003652729,0,0,0,0,0.005780556,0.285497544,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
S202,sedimento,Sitio 3,3,0.008055003,0.000599287,0,0.001720071,7.27E-05,4.33E-05,0,0,0.002786655,0.167718662,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
